Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.431896686553955,6.44662317438684,6.382908442941151,6.414465259906861,493729600
2010-01-05,6.4430155754089355,6.479381164501373,6.409053974578858,6.449627646613601,601904800
2010-01-06,6.340531349182129,6.468562292220805,6.333919277487496,6.443016052849092,552160000
2010-01-07,6.32880973815918,6.371487255475944,6.282826987429116,6.363973537415483,477131200
2010-01-08,6.370886325836182,6.371487824601399,6.28312889991774,6.320395339759796,447610800
2010-01-11,6.314685821533203,6.401542003921324,6.264795530855326,6.395531028835629,462229600
2010-01-12,6.242854118347168,6.304465797084791,6.203783992560606,6.287033571848873,594459600
2010-01-13,6.330914497375488,6.339329862823668,6.134060272108536,6.247364749292684,605892000
2010-01-14,6.294248104095459,6.325204222542272,6.281926007223752,6.3146854180810585,432894000
2010-01-15,6.189056873321533,6.359464351179845,6.187253581371719,6.339327591073591,594067600
2010-01-19,6.462852478027344,6.467360709434598,6.228430463850629,6.26118907494324,730007600
2010-01-20,6.363372802734375,6.4781792038703365,6.296351641840547,6.458944487018593,612152800
2010-01-21,6.253373622894287,6.410857943534868,6.227527235262426,6.373891654424182,608154400
2010-01-22,5.943215847015381,6.236244073750303,5.925484272268936,6.214605365026937,881767600
2010-01-25,6.103102684020996,6.152090516042383,6.016546666542417,6.086272358435345,1065699600
2010-01-26,6.189357757568359,6.422878861265464,6.0883758105029155,6.189658306242958,1867110000
2010-01-27,6.247664928436279,6.328810688068745,5.996711924017105,6.2167088066475396,1722568400
2010-01-28,5.989499092102051,6.176135862114551,5.971767517537085,6.159005385078344,1173502400
2010-01-29,5.772206783294678,6.076956368260788,5.7178086679858025,6.043295713665976,1245952400
2010-02-01,5.852452278137207,5.890621170065594,5.749366455813066,5.781524372235652,749876400
2010-02-02,5.886411666870117,5.900236906258077,5.811877599981068,5.887914811548451,698342400
2010-02-03,5.987696170806885,6.016849001492712,5.843135416310009,5.865676173769483,615328000
2010-02-04,5.771906852722168,5.961848838453971,5.757480513410889,5.912559648340441,757652000
2010-02-05,5.874390602111816,5.890620233396801,5.735840848867724,5.789337719829354,850306800
2010-02-08,5.834117412567139,5.947121309774549,5.83051082837117,5.881302753264525,478270800
2010-02-09,5.896331310272217,5.935701994121879,5.853053091266943,5.903243530501275,632886800
2010-02-10,5.864174842834473,5.908655672171831,5.838328443800833,5.887316302169208,370361600
2010-02-11,5.9708638191223145,6.003322675434187,5.832314087184033,5.856958677782569,550345600
2010-02-12,6.02225923538208,6.0601275817459035,5.875594630739147,5.9540358614069895,655468800
2010-02-16,6.113020896911621,6.1217364079160514,6.056518945299154,6.069141589390607,543737600
2010-02-17,6.087475299835205,6.140370267876735,6.036682968969654,6.136763683346639,436396800
2010-02-18,6.098896503448486,6.127748783887258,6.038487404927767,6.059825564905689,422825200
2010-02-19,6.061028480529785,6.107011641886803,6.044198149915035,6.06673930868488,415469600
2010-02-22,6.023460388183594,6.0859733282901525,5.986494093423523,6.081164949256351,390563600
2010-02-23,5.922479152679443,6.050810684186657,5.881906267602533,6.010838495455977,575094800
2010-02-24,6.030673503875732,6.054115503534688,5.945919961288152,5.957641362384314,460566400
2010-02-25,6.070945739746094,6.096792128980532,5.917368944246863,5.932095431312998,665126000
2010-02-26,6.149686336517334,6.166216112895157,6.070944587525997,6.0823650362682695,507460800
2010-03-01,6.281026840209961,6.29635402823645,6.174634559126859,6.183650622895406,550093600
2010-03-02,6.27681827545166,6.3363253312647645,6.243457760770478,6.30927634122238,566546400
2010-03-03,6.291240692138672,6.307470319903333,6.249466033144073,6.279520096841782,372052800
2010-03-04,6.3327178955078125,6.33902941969913,6.270204954936821,6.28974102631952,366041200
2010-03-05,6.580363750457764,6.602904503194715,6.450529512263567,6.459846522585055,899620400
2010-03-08,6.5842719078063965,6.614626129451996,6.559326761429584,6.612222140584392,429889600
2010-03-09,6.702685832977295,6.762192888350682,6.548507915055234,6.56113056297281,920259200
2010-03-10,6.75738525390625,6.776620379735519,6.70809684903599,6.727031024757366,596218000
2010-03-11,6.777216911315918,6.777216911315918,6.711699306677684,6.729431678454286,405700400
2010-03-12,6.810280799865723,6.8442416138732005,6.78473455056908,6.833421855987509,416323600
2010-03-15,6.727329254150391,6.77721833823525,6.619434263735913,6.773612555919085,493502800
2010-03-16,6.745662689208984,6.761591372833132,6.6873578325998615,6.737548273644507,446908000
2010-03-17,6.735743999481201,6.8057698467089285,6.710198160157494,6.7591859977108,450956800
2010-03-18,6.751673221588135,6.762192026634564,6.6903624800203065,6.735142638972254,342109600
2010-03-19,6.679543972015381,6.769406053849886,6.648888396716377,6.755881759572917,559445600
2010-03-22,6.7546796798706055,6.792247877978546,6.6164304443057445,6.626048005745665,456419600
2010-03-23,6.8631720542907715,6.875795098288545,6.735140729912825,6.781424422038171,602431200
2010-03-24,6.893529415130615,6.918474561685097,6.837628146643048,6.841535681905854,597780400
2010-03-25,6.811781883239746,6.941616546260621,6.799759932256301,6.940113401120969,542284400
2010-03-26,6.939511299133301,6.971067708447738,6.868883559296409,6.880905507149471,640875200
2010-03-29,6.984289169311523,7.028769561866418,6.961148129720718,7.002623036121023,540744400
2010-03-30,7.0882768630981445,7.137265888089607,7.040189885255256,7.110817608882841,527310000
2010-03-31,7.0627336502075195,7.111121598629096,7.046504819926213,7.077460940509778,430659600
2010-04-01,7.091886520385742,7.174835569886794,6.9951122280344835,7.135164738948646,603145200
2010-04-05,7.167623996734619,7.168225094316475,7.055822254110008,7.062134179986231,684507600
2010-04-06,7.199178695678711,7.220216301137866,7.122840934601413,7.1589059743408265,447017200
2010-04-07,7.231039524078369,7.2707111670839195,7.172733853622615,7.199482298211756,628502000
2010-04-08,7.211503028869629,7.259289080913149,7.154099415901589,7.22622951776857,572989200
2010-04-09,7.266800403594971,7.269806693091786,7.2268286307792025,7.255981453059316,334182800
2010-04-12,7.281827449798584,7.305269444330232,7.267401113143298,7.279122110409122,333026400
2010-04-13,7.286031723022461,7.297152421483647,7.246360113941722,7.2689016581704715,306210800
2010-04-14,7.384013652801514,7.387620237971159,7.335326358078127,7.371691554738598,404076400
2010-04-15,7.481087684631348,7.484393319234319,7.378602579006526,7.386716993056209,376784800
2010-04-16,7.435406684875488,7.547809521067203,7.349752288854201,7.470569688357853,750545600
2010-04-19,7.425487041473389,7.450131232493989,7.266199439611992,7.424284846665884,566924400
2010-04-20,7.350955486297607,7.491008026830138,7.301967232246696,7.469669461793611,738326400
2010-04-21,7.790645599365234,7.821601715630444,7.685756104546828,7.778022553381373,982391200
2010-04-22,8.008538246154785,8.016953610192024,7.699881536750428,7.761192672202737,793424800
2010-04-23,8.139575004577637,8.180147881017373,8.024467645060442,8.054220766769573,796955600
2010-04-26,8.099603652954102,8.188563677832498,8.060232166873854,8.171132652380226,479068800
2010-04-27,7.875399112701416,8.049713380296037,7.829717306389309,8.032582502295647,709343600
2010-04-28,7.862176418304443,7.9343057188306565,7.706195210881241,7.9117657638412915,758402400
2010-04-29,8.073755264282227,8.114628280239533,7.874495900724252,7.904850114008234,558840800
2010-04-30,7.846845626831055,8.131758534767501,7.844141090147612,8.09389020600046,542463600
2010-05-03,8.00493335723877,8.050916919201944,7.900644937162111,7.92949761997303,454342000
2010-05-04,7.774412631988525,7.9129627207640585,7.716408761434367,7.900941579900829,723819600
2010-05-05,7.6935715675354,7.758188347272847,7.475377982511348,7.60461154198624,883103200
2010-05-06,7.400844573974609,7.761494272349065,5.988297046263176,7.628654925316913,1285860800
2010-05-07,7.088580131530762,7.4104610316140755,6.768503326538932,7.324506493945816,1676018400
2010-05-10,7.633464813232422,7.653301037139305,7.469369155398212,7.5210627545613,984306400
2010-05-11,7.709499835968018,7.810781943446653,7.528573523293886,7.56884544579482,848906800
2010-05-12,7.876899719238281,7.908155977575245,7.7750165316142255,7.791244554307417,654379600
2010-05-13,7.764798164367676,7.964357668260915,7.705891426927827,7.910860806941038,599712400
2010-05-14,7.628355026245117,7.708299405509303,7.498521149044296,7.668627764690485,759362800
2010-05-17,7.640373706817627,7.6992804464595075,7.444720927097291,7.654800043676832,762834800
2010-05-18,7.584477424621582,7.770512748671922,7.521362968711074,7.723327783064141,782678400
2010-05-19,7.463655948638916,7.60130405181852,7.358767254566231,7.498518797512352,1025726800
2010-05-20,7.145685195922852,7.328714997126811,7.099100534223396,7.269507286107482,1282915200
2010-05-21,7.282732009887695,7.348250039736606,6.9530368153548165,6.9972162828052085,1223891200
2010-05-24,7.416171550750732,7.5405963379455985,7.401144914299258,7.431800087295062,754238800
2010-05-25,7.369887828826904,7.4161707307159,7.127651156909051,7.193469326051639,1048006400
2010-05-26,7.3365278244018555,7.577563120464006,7.3257080687840785,7.515951826996246,850654000
2010-05-27,7.61422872543335,7.630458359415145,7.4867992539323165,7.531579817970798,666282400
2010-05-28,7.720318794250488,7.796055464977924,7.6142271047294,7.795755317531095,815614800
2010-06-01,7.839032173156738,7.992608943484747,7.782830771510302,7.8047704247761915,876472800
2010-06-02,7.932806491851807,7.958351942128622,7.824009405436771,7.950537671469662,688548000
2010-06-03,7.907859802246094,7.980891157514061,7.826412277675644,7.969770450159766,650106800
2010-06-04,7.6926679611206055,7.871189054940019,7.652696192025659,7.760289405173453,758304400
2010-06-07,7.5417985916137695,7.788543122660981,7.530076787847794,7.762696729939701,886942000
2010-06-08,7.493409156799316,7.627751612540028,7.382809646333274,7.6109208858778565,1000770400
2010-06-09,7.309178352355957,7.570650966892354,7.287840593499407,7.557726968523696,854630000
2010-06-10,7.52887487411499,7.54299946209261,7.279124070001396,7.358467337898861,776356000
