Date,^GSPC,NKE,MSFT,SBUX
2010-01-04,1132.989990234375,13.420448303222656,23.211441040039062,8.72641658782959
2010-01-05,1136.52001953125,13.473836898803711,23.218936920166016,8.930853843688965
2010-01-06,1137.1400146484375,13.391691207885742,23.076448440551758,8.866497039794922
2010-01-07,1141.68994140625,13.5231294631958,22.836456298828125,8.843780517578125
2010-01-08,1144.97998046875,13.496424674987793,22.993955612182617,8.813490867614746
2010-01-11,1146.97998046875,13.330082893371582,22.701467514038086,8.786993026733398
2010-01-12,1136.219970703125,13.311606407165527,22.551471710205078,8.6393404006958
2010-01-13,1145.6800537109375,13.430710792541504,22.76146125793457,8.851351737976074
2010-01-14,1148.4599609375,13.346512794494629,23.218936920166016,8.915708541870117
2010-01-15,1136.030029296875,13.223297119140625,23.143939971923828,8.80970573425293
2010-01-19,1150.22998046875,13.28901195526123,23.32394027709961,8.927066802978516
2010-01-20,1138.0400390625,13.180167198181152,22.941457748413086,8.817278861999512
2010-01-21,1116.47998046875,13.069273948669434,22.5064754486084,8.964927673339844
2010-01-22,1091.760009765625,12.933733940124512,21.719009399414062,8.67341423034668
2010-01-25,1096.780029296875,13.075435638427734,21.988998413085938,8.480334281921387
2010-01-26,1092.1700439453125,13.089811325073242,22.123994827270508,8.53333854675293
2010-01-27,1097.5,13.143203735351562,22.251482009887695,8.484124183654785
2010-01-28,1084.530029296875,13.044634819030762,21.869003295898438,8.359188079833984
2010-01-29,1073.8699951171875,13.091865539550781,21.134035110473633,8.249397277832031
2010-02-01,1089.18994140625,13.163742065429688,21.3065242767334,8.415975570678711
2010-02-02,1103.3199462890625,13.128830909729004,21.344024658203125,8.49926471710205
2010-02-03,1097.280029296875,13.143203735351562,21.47152328491211,8.491695404052734
2010-02-04,1063.1099853515625,12.750961303710938,20.879045486450195,8.25697135925293
2010-02-05,1066.18994140625,12.670870780944824,21.014041900634766,8.215327262878418
2010-02-08,1056.739990234375,12.588726043701172,20.78904914855957,8.294830322265625
2010-02-09,1070.52001953125,12.837212562561035,21.00654411315918,8.400834083557129
2010-02-10,1068.1300048828125,12.863911628723145,20.991540908813477,8.468978881835938
2010-02-11,1078.469970703125,12.927573204040527,21.089040756225586,8.540911674499512
2010-02-12,1075.510009765625,12.83310604095459,20.946542739868164,8.55605411529541
2010-02-16,1094.8699951171875,13.07132625579834,21.360950469970703,8.662056922912598
2010-02-17,1099.510009765625,13.241778373718262,21.54178810119629,8.764276504516602
2010-02-18,1106.75,13.233564376831055,21.82811164855957,8.80591869354248
2010-02-19,1109.1700439453125,13.215083122253418,21.677417755126953,8.843780517578125
2010-02-22,1108.010009765625,13.206864356994629,21.64727210998535,8.66963005065918
2010-02-23,1094.5999755859375,13.169898986816406,21.345895767211914,8.58633804321289
2010-02-24,1105.239990234375,13.334190368652344,21.57192611694336,8.737771987915039
2010-02-25,1102.93994140625,13.586791038513184,21.549318313598633,8.66963005065918
2010-02-26,1104.489990234375,13.882512092590332,21.602066040039062,8.67341423034668
2010-03-01,1115.7099609375,14.01394271850586,21.865785598754883,8.817278861999512
2010-03-02,1118.31005859375,13.970813751220703,21.443830490112305,8.832418441772461
2010-03-03,1118.7900390625,13.890716552734375,21.443830490112305,8.730205535888672
2010-03-04,1122.969970703125,13.944334030151367,21.57192611694336,8.677201271057129
2010-03-05,1138.699951171875,14.086599349975586,21.54178810119629,8.847565650939941
2010-03-08,1138.5,14.189695358276367,21.57192611694336,8.828636169433594
2010-03-09,1140.449951171875,14.212376594543457,21.700014114379883,8.942214012145996
2010-03-10,1145.6099853515625,14.251545906066895,21.82811164855957,9.173150062561035
2010-03-11,1150.239990234375,14.381447792053223,21.98634147644043,9.1882905960083
2010-03-12,1149.989990234375,14.412378311157227,22.05414581298828,9.19207763671875
2010-03-15,1150.510009765625,14.51340389251709,22.069211959838867,9.245078086853027
2010-03-16,1159.4599609375,14.511340141296387,22.129499435424805,9.574448585510254
2010-03-17,1166.2099609375,14.614434242248535,22.325403213500977,9.676669120788574
2010-03-18,1165.8299560546875,15.393815994262695,22.310333251953125,9.472229957580566
2010-03-19,1159.9000244140625,15.15876579284668,22.295265197753906,9.453300476074219
2010-03-22,1165.81005859375,15.232996940612793,22.302793502807617,9.555521011352539
2010-03-23,1174.1700439453125,15.358773231506348,22.513763427734375,9.61988353729248
2010-03-24,1167.719970703125,15.129894256591797,22.340473175048828,9.574448585510254
2010-03-25,1165.72998046875,15.16907024383545,22.611722946166992,9.165579795837402
2010-03-26,1166.5899658203125,15.235057830810547,22.347999572753906,9.309438705444336
2010-03-29,1173.219970703125,15.251555442810059,22.295265197753906,9.31701374053955
2010-03-30,1173.27001953125,15.218554496765137,22.430885314941406,9.298084259033203
2010-03-31,1169.4300537109375,15.154644012451172,22.069211959838867,9.1882905960083
2010-04-01,1178.0999755859375,15.259795188903809,21.971261978149414,9.176937103271484
2010-04-05,1187.43994140625,15.280418395996094,22.05414581298828,9.355607986450195
2010-04-06,1189.43994140625,15.239181518554688,22.091821670532227,9.351810455322266
2010-04-07,1182.449951171875,15.173199653625488,22.114431381225586,9.46965503692627
2010-04-08,1186.43994140625,15.255670547485352,22.54391098022461,9.439239501953125
2010-04-09,1194.3699951171875,15.501038551330566,22.8603572845459,9.397425651550293
2010-04-12,1196.47998046875,15.57319450378418,22.845291137695312,9.309988975524902
2010-04-13,1197.300048828125,15.56907844543457,22.943246841430664,9.401225090026855
2010-04-14,1210.6500244140625,15.628866195678711,23.222030639648438,9.443045616149902
